names,session,visit,lead,n_nmean,sdnn,rmssd,pnn50,ulf,vlf,lf,hf,lfhf,ttlpwr,ac,dc,samp_en,ap_en
rck17,14,1,aVR,319.09129523809526,12.51387761904762,3.0197490324107785,0.07089863523809524,1.363487265,36.11122761904762,2.9022801242189287,2.4656538992500683,1.5723809523809524,67.79225047619047,-2.625086,1.561074619047619,1.393237619047619,1.0703700476190476
rck17,14,1,LI,319.08261904761906,9.17469457142857,2.6381857732653273,0.008285317095238096,1.291711893095238,36.136317857142856,2.898734126007698,2.132961159240573,2.2861904761904763,64.48872333333334,-1.4741444285714285,1.4125394285714286,1.6531707142857144,1.1158370952380952
rck17,14,1,LII,319.08479047619045,5.228890761904762,1.6843034034091409,0,1.3415689176047618,36.04053538095238,2.8957715015240564,0.8005842225840136,8.224285714285715,57.99789142857143,-0.9451719571428572,0.675035319047619,1.2515975238095238,1.1559584285714286
rck17,14,1,LIII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rck17,14,1,Vx,319.0799333333333,5.111296523809524,1.6339840752717318,0,1.3374158927142856,36.032818761904764,2.8868358604379374,0.8006012738896682,8.145714285714286,57.80541761904762,-0.9056759285714285,0.7271669619047619,1.306051380952381,1.1955678571428572
rck17,15,2,aVF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rck17,15,2,aVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rck17,15,2,aVR,315.33975,19.627834999999997,3.5164480465715338,0.206264375,2.464239575,34.122495,2.0425434553939033,3.019671582783614,0.385,65.15496,-5.64838825,3.4791575000000003,1.46089775,0.94419375
rck17,15,2,LI,313.13882222222225,7.894710444444445,2.5088466778049328,0.005560254,4.7886384444444445,23.825236666666665,1.8475744297596186,1.5873366861996059,1.3277777777777777,40.052374444444446,-1.2325613333333334,1.340912111111111,1.3266078888888888,1.0763765555555556
rck17,15,2,LII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rck17,15,2,LIII,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
